City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Sioux Lookout,CA,50.1001,-91.917,79.18,47,40,14.97,smoke
173,Zhangzhou,CN,24.5133,117.6556,87.73,83,77,3.62,broken clouds
174,Saint-Philippe,RE,-21.3585,55.7679,69.35,76,37,11.48,scattered clouds
175,Trairi,BR,-3.2778,-39.2689,86.0,50,40,15.55,scattered clouds
176,Bamako,ML,12.65,-8.0,82.81,69,40,12.66,thunderstorm
177,Tura,IN,25.5198,90.2201,76.53,94,100,5.68,overcast clouds
178,Aklavik,CA,68.2191,-135.0107,55.4,76,75,17.27,broken clouds
179,Grindavik,IS,63.8424,-22.4338,52.27,87,75,28.77,light intensity drizzle
180,Kavieng,PG,-2.5744,150.7967,81.03,76,60,2.55,broken clouds
181,Lagoa,PT,39.05,-27.9833,69.37,82,100,12.77,overcast clouds
182,Belmonte,BR,-15.8631,-38.8828,75.7,62,28,11.23,scattered clouds
183,Dukat,RU,62.55,155.55,50.94,99,100,6.04,light rain
184,Albacete,ES,38.8333,-2.0,90.41,16,0,11.5,clear sky
185,Victoria,HK,22.2855,114.1577,86.38,83,6,1.01,clear sky
186,Karanja,IN,20.4833,77.4833,77.56,80,17,12.59,few clouds
187,Namibe,AO,-15.1961,12.1522,69.93,61,0,5.44,clear sky
188,Milcoiu,RO,45.05,24.4667,72.9,62,83,4.09,broken clouds
189,Boguchany,RU,58.3814,97.4531,67.89,65,53,4.29,broken clouds
190,Hami,CN,42.8,93.45,89.42,18,1,10.89,clear sky
191,Ancud,CL,-41.8697,-73.8203,44.13,63,18,9.4,few clouds
192,Zhezkazgan,KZ,47.8043,67.7144,84.85,36,1,16.42,clear sky
193,Mahebourg,MU,-20.4081,57.7,71.89,60,40,11.5,scattered clouds
194,Kemise,ET,10.7167,39.8667,66.22,91,100,2.13,moderate rain
195,Oxford,GB,51.7522,-1.256,71.91,76,75,5.75,broken clouds
196,Yellowknife,CA,62.456,-114.3525,61.29,51,20,4.61,few clouds
197,Pandaria,IN,22.2333,81.4167,78.19,84,28,6.98,scattered clouds
198,Kodiak,US,57.79,-152.4072,51.31,87,90,3.44,overcast clouds
199,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,80,20,16.11,few clouds
200,Sal Rei,CV,16.1833,-22.9167,80.8,54,20,13.8,few clouds
201,Mastic Beach,US,40.7668,-72.8521,77.99,88,90,1.01,overcast clouds
202,Conceicao Do Araguaia,BR,-8.2578,-49.2647,91.53,33,0,9.22,clear sky
203,Brightwater,NZ,-41.3833,173.1167,53.11,93,100,10.33,moderate rain
204,Saschiz,RO,46.1833,24.9667,80.91,64,13,5.28,few clouds
205,Maceio,BR,-9.6658,-35.7353,74.64,94,40,5.75,scattered clouds
